Item,Category
Motorcycle repair,Transport
Car maintenance,Transport
Phone accessories,Others
Spotify subscription,Subscription
Nike sneakers,Clothing
Laksa,Food
Miscellaneous expenses,Others
Teppanyaki,Restaurants
Zalora food delivery,Restaurants
Astro subscription,Subscription
Gym membership,Health
Astro subscription,Subscription
Astro subscription,Subscription
Fitness app subscription,Fitness
Cotton On t-shirt,Clothing
Grab ride,Transport
Polo Ralph Lauren polo,Clothing
Laksa,Food
Personal loan,Others
Laksa,Food
Astro subscription,Subscription
Gifts,Others
Health insurance,Health
Nasi Lemak,Food
H&M jacket,Clothing
Bus fare,Transport
Disney+ subscription,Subscription
Running shoes,Fitness
Health insurance,Health
Amazon Prime,Subscription
Personal loan,Others
UNIQLO shirt,Clothing
KFC meal,Restaurants
Zalora clothes,Clothing
Cotton On t-shirt,Clothing
Insurance premium,Others
Electricity bill,Housing
YouTube Premium,Subscription
Yoga mat,Fitness
Nasi Lemak,Food
Phone accessories,Others
Sushi restaurant,Restaurants
Personal loan,Others
Char Kway Teow,Food
Doctor consultation,Health
YouTube Premium,Subscription
Teppanyaki,Restaurants
Polo Ralph Lauren polo,Clothing
Phone accessories,Others
Rent,Housing
Cotton On t-shirt,Clothing
Petrol,Transport
Starbucks coffee,Restaurants
Polo Ralph Lauren polo,Clothing
Yoga mat,Fitness
Home insurance,Housing
Spotify subscription,Subscription
Gym membership,Health
Fitness app subscription,Fitness
Taxi AirAsia fare,Transport
Charity donation,Others
Phone accessories,Others
Nasi Lemak,Food
Grab ride,Transport
Car park fee,Transport
KFC meal,Restaurants
Fitness app subscription,Fitness
Miscellaneous expenses,Others
Amazon Prime,Subscription
Taxi fare,Transport
Protein powder,Fitness
H&M jacket,Clothing
Satay,Food
Zalora food delivery,Restaurants
House maintenance,Housing
Motorcycle repair,Transport
Starbucks coffee,Restaurants
Polo Ralph Lauren polo,Clothing
Nasi Lemak,Food
House maintenance,Housing
Rent,Housing
Zalora clothes,Clothing
Protein powder,Fitness
Pizza Hut delivery,Restaurants
Zalora food delivery,Restaurants
Zalora clothes,Clothing
Polo Ralph Lauren polo,Clothing
Nike sneakers,Clothing
Pizza Hut delivery,Restaurants
Makan Nasi Lemak,Food
Nike sneakers,Clothing
Nasi Lemak,Food
Doctor consultation,Health
Pizza Hut delivery,Restaurants
Roti Canai,Food
Makan Nasi,Food
Gifts,Others
Starbucks coffee,Restaurants
Nike sneakers,Clothing
Cycling gear,Fitness
