State,AgeGroup,Income,SavingsRate,Savings,PLI,Food,Transport,Housing,Health,Subscription,Restaurants,Clothing,Fitness,Others
Perak,50-54,7057.2,0.1982,1398.97,2297,1076.68,606.41,1403.82,179.89,484.38,933.61,180.81,167.47,625.16
Pulau Pinang,40-44,4919.66,0.1572,773.3,2250,644.03,359.84,1194.1,111.5,315.36,895.69,134.28,93.4,398.15
Negeri Sembilan,45-49,8371.9,0.1924,1610.72,2402,905.8,954.2,1863.82,213.02,320.71,496.53,192.18,412.15,1402.78
W.P. Labuan,25-29,4540.6,0.1422,645.64,2816,784.58,406.39,1331.5,66.13,395.45,468.5,87.26,80.63,274.52
Perlis,40-44,3648.14,0.1425,520.01,2140,866.82,399.2,654.11,82.7,257.12,445.46,96.08,50.95,275.69
Selangor,20-24,3391.47,0.0881,298.78,2830,455.19,353.6,889.63,81.99,252.35,595.05,86.72,76.49,301.67
W.P. Labuan,45-49,4639.58,0.1407,652.74,2816,928.81,399.7,1311.7,74.37,363.0,468.88,92.3,69.66,278.4
Johor,60-64,4173.19,0.147,613.26,2589,849.28,413.63,906.42,142.91,259.38,461.11,112.18,76.88,338.13
Kedah,35-39,6050.62,0.1917,1159.71,2627,957.84,710.29,1099.31,138.52,451.82,706.35,208.83,133.69,484.26
Perlis,55-59,4581.05,0.1636,749.3,2140,1032.35,540.75,779.4,100.07,328.85,539.32,115.33,66.29,329.39
Terengganu,60-64,3212.64,0.1971,633.15,2751,810.01,253.75,563.66,69.5,162.73,380.99,109.41,40.33,189.11
Pahang,50-54,5495.18,0.1726,948.44,2480,962.0,501.03,1086.6,139.24,452.02,650.23,143.09,143.88,468.63
Selangor,45-49,3429.4,0.0826,283.27,2830,648.78,323.11,982.84,82.42,209.31,519.29,89.71,51.24,239.43
Pulau Pinang,35-39,4155.21,0.144,598.48,2250,569.02,307.73,1022.18,101.15,263.36,763.28,119.13,83.86,327.03
Pulau Pinang,35-39,5142.36,0.1508,775.58,2250,673.4,379.89,1227.37,118.95,356.04,921.68,139.93,101.87,447.64
Perlis,25-29,7190.36,0.1903,1368.21,2140,951.52,1016.4,1488.03,156.29,270.99,458.9,176.29,204.95,1098.8
Selangor,45-49,3366.74,0.0872,293.55,2830,599.56,332.83,979.47,80.02,217.26,487.61,85.54,51.04,239.85
Kelantan,15-19,2296.34,0.1285,295.14,2271,781.54,174.99,504.2,32.46,102.99,243.6,47.63,15.91,97.89
